mi	2^10
load factor	4/8
insert_erase	hashbrown	HashMap	<u64,u64>/640	4.79
load factor	6/8
find_miss	aligned_double_hashing_table	HashTable	<u64>/768	7.34
find_miss	quadratic_probing_table	HashTable	<u64>/768	7.25
find_miss	aligned_quadratic_probing_table	HashTable	<u64>/768	8.37
find_miss	unaligned_cuckoo_table	HashTable	<u64>/768	4.80
find_miss	aligned_cuckoo_table	HashTable	<u64>/768	2.52
find_miss	balancing_cuckoo_table	HashTable	<u64>/768	2.52
find_miss	scalar_cache_line_aligned_table	U64HashSet	<u64>/768	11.86
find_miss	scalar_unaligned_table	U64HashSet	<u64>/768	11.76
find_miss	scalar_cuckoo_table	U64HashSet	<u64>/768	1.73
find_miss	hashbrown	HashMap	<u64,u64>/768	7.51
find_hit	aligned_double_hashing_table	HashTable	<u64>/768	1.93
find_hit	quadratic_probing_table	HashTable	<u64>/768	1.73
find_hit	aligned_quadratic_probing_table	HashTable	<u64>/768	1.73
find_hit	unaligned_cuckoo_table	HashTable	<u64>/768	1.69
find_hit	aligned_cuckoo_table	HashTable	<u64>/768	1.68
find_hit	balancing_cuckoo_table	HashTable	<u64>/768	1.71
find_hit	scalar_cache_line_aligned_table	U64HashSet	<u64>/768	2.06
find_hit	scalar_unaligned_table	U64HashSet	<u64>/768	1.59
find_hit	scalar_cuckoo_table	U64HashSet	<u64>/768	1.12
find_hit	hashbrown	HashMap	<u64,u64>/768	1.74
find_hit_latency	aligned_double_hashing_table	HashTable	<u64>/768	10.04
find_hit_latency	quadratic_probing_table	HashTable	<u64>/768	9.98
find_hit_latency	aligned_quadratic_probing_table	HashTable	<u64>/768	10.03
find_hit_latency	unaligned_cuckoo_table	HashTable	<u64>/768	9.99
find_hit_latency	aligned_cuckoo_table	HashTable	<u64>/768	10.12
find_hit_latency	balancing_cuckoo_table	HashTable	<u64>/768	10.09
find_hit_latency	scalar_cache_line_aligned_table	U64HashSet	<u64>/768	4.97
find_hit_latency	scalar_unaligned_table	U64HashSet	<u64>/768	4.72
find_hit_latency	scalar_cuckoo_table	U64HashSet	<u64>/768	4.28
find_hit_latency	hashbrown	HashMap	<u64,u64>/768	10.11
insert_erase	aligned_double_hashing_table	HashTable	<u64>/768	2.74
insert_erase	quadratic_probing_table	HashTable	<u64>/768	3.13
insert_erase	aligned_quadratic_probing_table	HashTable	<u64>/768	2.84
insert_erase	aligned_cuckoo_table	HashTable	<u64>/768	2.46
insert_erase	balancing_cuckoo_table	HashTable	<u64>/768	2.86
insert_erase	scalar_cache_line_aligned_table	U64HashSet	<u64>/768	4.56
insert_erase	scalar_unaligned_table	U64HashSet	<u64>/768	4.55
insert_erase	hashbrown	HashMap	<u64,u64>/768	5.14
load factor	7/8
